id,name,type,description,created_at
1,"Céréales",brut,"Maïs, riz, mil, sorgho, fonio","2025-10-26 22:52:33"
2,Tubercules,brut,"Igname, manioc, patate douce","2025-10-26 22:52:33"
3,"Légumineuses",brut,"Niébé, arachide, soja, voandzou","2025-10-26 22:52:33"
4,"Légumes",brut,"Tomate, oignon, piment, gombo, épinard","2025-10-26 22:52:33"
5,Fruits,brut,"Ananas, mangue, orange, banane, avocat","2025-10-26 22:52:33"
6,"Produits transformés",transforme,"Gari, tapioca, farine, huile, akassa","2025-10-26 22:52:33"
